,,,,,Electrical % Of Total,,,Natural Gas % Of Total,,
Large Hotel,1981,2003,1A,"Miami, Florida",10.03%,78.90%,11.07%,0.00%,76.62%,23.38%
Large Office Building,1981,2003,1A,"Miami, Florida",27.71%,42.07%,30.22%,0.00%,100.00%,0.00%
Medium Office Building,1981,2003,1A,"Miami, Florida",33.24%,37.98%,28.78%,0.00%,100.00%,0.00%
Midrise Apartment,1981,2003,1A,"Miami, Florida",21.31%,49.77%,28.92%,0.00%,100.00%,0.00%
Outpatient,1981,2003,1A,"Miami, Florida",15.17%,59.14%,25.69%,0.00%,93.71%,6.29%
Primary School,1981,2003,1A,"Miami, Florida",38.92%,35.82%,25.26%,0.00%,41.50%,58.50%
Quick Service Restaurant,1981,2003,1A,"Miami, Florida",16.39%,24.81%,58.79%,0.00%,9.90%,90.10%
Secondary School,1981,2003,1A,"Miami, Florida",17.99%,72.14%,9.87%,0.00%,57.51%,42.49%
Small Hotel,1981,2003,1A,"Miami, Florida",35.17%,41.86%,22.97%,0.00%,58.12%,41.88%
Small Office,1981,2003,1A,"Miami, Florida",37.03%,40.74%,22.23%,0.00%,100.00%,0.00%
Standalone Retail,1981,2003,1A,"Miami, Florida",49.08%,42.28%,8.65%,0.00%,100.00%,0.00%
Strip Mall,1981,2003,1A,"Miami, Florida",51.58%,42.34%,6.09%,0.00%,100.00%,0.00%
Supermarket,1981,2003,1A,"Miami, Florida",21.70%,13.31%,64.99%,0.00%,38.27%,61.73%
Warehouse,1981,2003,1A,"Miami, Florida",66.70%,19.12%,14.18%,0.00%,100.00%,0.00%
Full Service Restaurant,1981,2003,2A,"Houston, Texas",26.59%,25.63%,47.78%,0.00%,33.75%,66.25%
Hospital,1981,2003,2A,"Houston, Texas",18.20%,62.47%,19.33%,0.00%,89.24%,10.76%
Large Hotel,1981,2003,2A,"Houston, Texas",12.08%,74.61%,13.31%,0.00%,82.44%,17.56%
Large Office Building,1981,2003,2A,"Houston, Texas",29.85%,37.59%,32.56%,0.00%,100.00%,0.00%
Medium Office Building,1981,2003,2A,"Houston, Texas",35.12%,34.48%,30.41%,0.00%,100.00%,0.00%
Midrise Apartment,1981,2003,2A,"Houston, Texas",27.22%,35.86%,36.93%,0.00%,100.00%,0.00%
Outpatient,1981,2003,2A,"Houston, Texas",16.68%,55.06%,28.25%,0.00%,94.23%,5.77%
Primary School,1981,2003,2A,"Houston, Texas",44.28%,27.05%,28.66%,0.00%,72.99%,27.01%
Quick Service Restaurant,1981,2003,2A,"Houston, Texas",17.58%,19.74%,62.68%,0.00%,21.62%,78.38%
Secondary School,1981,2003,2A,"Houston, Texas",23.20%,64.11%,12.69%,0.00%,87.37%,12.63%
Small Hotel,1981,2003,2A,"Houston, Texas",39.69%,34.38%,25.93%,0.00%,68.83%,31.17%
Small Office,1981,2003,2A,"Houston, Texas",40.94%,34.48%,24.58%,0.00%,100.00%,0.00%
Standalone Retail,1981,2003,2A,"Houston, Texas",52.95%,37.73%,9.33%,0.00%,100.00%,0.00%
Strip Mall,1981,2003,2A,"Houston, Texas",60.59%,32.26%,7.15%,0.00%,100.00%,0.00%
Supermarket,1981,2003,2A,"Houston, Texas",22.07%,16.43%,61.50%,0.00%,84.03%,15.97%
Warehouse,1981,2003,2A,"Houston, Texas",61.39%,25.57%,13.05%,0.00%,100.00%,0.00%
Full Service Restaurant,1981,2003,2B,"Phoenix, Arizona",26.21%,26.71%,47.08%,0.00%,29.48%,70.52%
Hospital,1981,2003,2B,"Phoenix, Arizona",18.52%,61.81%,19.66%,0.00%,89.23%,10.77%
Large Hotel,1981,2003,2B,"Phoenix, Arizona",12.54%,73.64%,13.82%,0.00%,79.79%,20.21%
Large Office Building,1981,2003,2B,"Phoenix, Arizona",30.52%,36.18%,33.30%,0.00%,100.00%,0.00%
Medium Office Building,1981,2003,2B,"Phoenix, Arizona",33.98%,36.59%,29.43%,0.00%,100.00%,0.00%
Midrise Apartment,1981,2003,2B,"Phoenix, Arizona",24.14%,43.11%,32.75%,0.00%,100.00%,0.00%
Outpatient,1981,2003,2B,"Phoenix, Arizona",15.87%,57.26%,26.87%,0.00%,94.64%,5.36%
Primary School,1981,2003,2B,"Phoenix, Arizona",43.30%,28.66%,28.03%,0.00%,65.45%,34.55%
Quick Service Restaurant,1981,2003,2B,"Phoenix, Arizona",17.11%,21.91%,60.97%,0.00%,17.68%,82.32%
Secondary School,1981,2003,2B,"Phoenix, Arizona",21.98%,66.00%,12.02%,0.00%,83.36%,16.64%
Small Hotel,1981,2003,2B,"Phoenix, Arizona",38.90%,35.69%,25.42%,0.00%,65.71%,34.29%
Small Office,1981,2003,2B,"Phoenix, Arizona",38.62%,38.20%,23.18%,0.00%,100.00%,0.00%
Standalone Retail,1981,2003,2B,"Phoenix, Arizona",52.60%,38.13%,9.27%,0.00%,100.00%,0.00%
Strip Mall,1981,2003,2B,"Phoenix, Arizona",59.41%,33.58%,7.01%,0.00%,100.00%,0.00%
Supermarket,1981,2003,2B,"Phoenix, Arizona",23.90%,15.87%,60.23%,0.00%,83.89%,16.12%
Warehouse,1981,2003,2B,"Phoenix, Arizona",56.22%,31.82%,11.95%,0.00%,100.00%,0.00%
Full Service Restaurant,1981,2003,3A,"Atlanta, Georgia",28.88%,19.45%,51.66%,0.00%,43.94%,56.06%
Hospital,1981,2003,3A,"Atlanta, Georgia",18.71%,61.44%,19.85%,0.00%,90.07%,9.93%
Large Hotel,1981,2003,3A,"Atlanta, Georgia",14.48%,69.58%,15.94%,0.00%,85.96%,14.04%
Large Office Building,1981,2003,3A,"Atlanta, Georgia",32.01%,33.07%,34.92%,0.00%,100.00%,0.00%
Medium Office Building,1981,2003,3A,"Atlanta, Georgia",36.90%,31.15%,31.95%,0.00%,100.00%,0.00%
Midrise Apartment,1981,2003,3A,"Atlanta, Georgia",32.01%,24.56%,43.44%,0.00%,100.00%,0.00%
Outpatient,1981,2003,3A,"Atlanta, Georgia",17.57%,52.67%,29.76%,0.00%,94.81%,5.19%
Primary School,1981,2003,3A,"Atlanta, Georgia",49.43%,18.65%,31.92%,0.00%,82.89%,17.11%
Quick Service Restaurant,1981,2003,3A,"Atlanta, Georgia",18.73%,14.94%,66.33%,0.00%,30.93%,69.07%
Secondary School,1981,2003,3A,"Atlanta, Georgia",29.63%,54.21%,16.16%,0.00%,92.79%,7.21%
Small Hotel,1981,2003,3A,"Atlanta, Georgia",43.12%,28.71%,28.17%,0.00%,74.90%,25.11%
Small Office,1981,2003,3A,"Atlanta, Georgia",44.72%,28.44%,26.85%,0.00%,100.00%,0.00%
Standalone Retail,1981,2003,3A,"Atlanta, Georgia",57.46%,32.42%,10.13%,0.00%,100.00%,0.00%
Strip Mall,1981,2003,3A,"Atlanta, Georgia",66.06%,26.14%,7.80%,0.00%,100.00%,0.00%
Supermarket,1981,2003,3A,"Atlanta, Georgia",23.48%,16.70%,59.82%,0.00%,90.87%,9.13%
Warehouse,1981,2003,3A,"Atlanta, Georgia",61.14%,25.85%,13.00%,0.00%,100.00%,0.00%
Full Service Restaurant,1981,2003,3C,"Los Angeles, California",29.02%,19.04%,51.94%,0.00%,28.86%,71.14%
Hospital,1981,2003,3C,"Los Angeles, California",19.96%,58.88%,21.17%,0.00%,89.96%,10.03%
Large Hotel,1981,2003,3C,"Los Angeles, California",16.01%,66.36%,17.63%,0.00%,83.11%,16.89%
Large Office Building,1981,2003,3C,"Los Angeles, California",33.58%,29.79%,36.63%,0.00%,100.00%,0.00%
Medium Office Building,1981,2003,3C,"Los Angeles, California",40.24%,24.91%,34.85%,0.00%,100.00%,0.00%
Midrise Apartment,1981,2003,3C,"Los Angeles, California",36.58%,13.77%,49.65%,0.00%,100.00%,0.00%
Outpatient,1981,2003,3C,"Los Angeles, California",18.71%,49.59%,31.70%,0.00%,95.16%,4.84%
Primary School,1981,2003,3C,"Los Angeles, California",50.74%,16.49%,32.77%,0.00%,67.76%,32.25%
Quick Service Restaurant,1981,2003,3C,"Los Angeles, California",19.58%,11.08%,69.34%,0.00%,17.05%,82.95%
Secondary School,1981,2003,3C,"Los Angeles, California",32.62%,49.59%,17.79%,0.00%,82.21%,17.79%
Small Hotel,1981,2003,3C,"Los Angeles, California",45.58%,24.64%,29.78%,0.00%,68.90%,31.11%
Small Office,1981,2003,3C,"Los Angeles, California",46.41%,25.72%,27.87%,0.00%,100.00%,0.00%
Standalone Retail,1981,2003,3C,"Los Angeles, California",63.99%,24.73%,11.28%,0.00%,100.00%,0.00%
Strip Mall,1981,2003,3C,"Los Angeles, California",70.98%,20.65%,8.38%,0.00%,100.00%,0.00%
Supermarket,1981,2003,3C,"Los Angeles, California",25.38%,9.40%,65.22%,0.00%,84.58%,15.42%
Warehouse,1981,2003,3C,"Los Angeles, California",74.85%,9.23%,15.92%,0.00%,100.00%,0.00%
Full Service Restaurant,1981,2003,3B,"Las Vegas, Nevada",27.62%,22.91%,49.46%,0.00%,36.60%,63.40%
Hospital,1981,2003,3B,"Las Vegas, Nevada",19.57%,59.65%,20.77%,0.00%,89.00%,11.00%
Large Hotel,1981,2003,3B,"Las Vegas, Nevada",15.81%,66.78%,17.42%,0.00%,82.83%,17.17%
Large Office Building,1981,2003,3B,"Las Vegas, Nevada",34.14%,28.62%,37.24%,0.00%,100.00%,0.00%
Medium Office Building,1981,2003,3B,"Las Vegas, Nevada",35.60%,33.56%,30.84%,0.00%,100.00%,0.00%
Midrise Apartment,1981,2003,3B,"Las Vegas, Nevada",27.97%,34.07%,37.96%,0.00%,100.00%,0.00%
Outpatient,1981,2003,3B,"Las Vegas, Nevada",16.16%,56.45%,27.39%,0.00%,94.45%,5.55%
Primary School,1981,2003,3B,"Las Vegas, Nevada",46.79%,22.97%,30.24%,0.00%,73.59%,26.41%
Quick Service Restaurant,1981,2003,3B,"Las Vegas, Nevada",17.87%,18.77%,63.36%,0.00%,23.52%,76.48%
Secondary School,1981,2003,3B,"Las Vegas, Nevada",28.09%,56.58%,15.33%,0.00%,88.30%,11.70%
Small Hotel,1981,2003,3B,"Las Vegas, Nevada",42.19%,30.24%,27.57%,0.00%,70.76%,29.24%
Small Office,1981,2003,3B,"Las Vegas, Nevada",42.27%,32.34%,25.39%,0.00%,100.00%,0.00%
Standalone Retail,1981,2003,3B,"Las Vegas, Nevada",57.58%,32.27%,10.15%,0.00%,100.00%,0.00%
Strip Mall,1981,2003,3B,"Las Vegas, Nevada",64.65%,27.72%,7.63%,0.00%,100.00%,0.00%
Supermarket,1981,2003,3B,"Las Vegas, Nevada",24.71%,17.96%,57.33%,0.00%,88.82%,11.19%
Warehouse,1981,2003,3B,"Las Vegas, Nevada",57.88%,29.82%,12.31%,0.00%,100.00%,0.00%
Full Service Restaurant,1981,2003,3C,"San Francisco, California",32.26%,10.20%,57.54%,0.00%,43.97%,56.03%
Hospital,1981,2003,3C,"San Francisco, California",21.43%,55.84%,22.73%,0.00%,90.69%,9.31%
Large Hotel,1981,2003,3C,"San Francisco, California",20.56%,56.80%,22.64%,0.00%,85.95%,14.05%
Large Office Building,1981,2003,3C,"San Francisco, California",39.14%,18.16%,42.70%,0.00%,100.00%,0.00%
Medium Office Building,1981,2003,3C,"San Francisco, California",43.24%,19.31%,37.45%,0.00%,100.00%,0.00%
Midrise Apartment,1981,2003,3C,"San Francisco, California",39.85%,6.06%,54.09%,0.00%,100.00%,0.00%
Outpatient,1981,2003,3C,"San Francisco, California",21.07%,43.25%,35.69%,0.00%,94.96%,5.04%
Primary School,1981,2003,3C,"San Francisco, California",55.28%,9.11%,35.61%,0.00%,81.29%,18.71%
Quick Service Restaurant,1981,2003,3C,"San Francisco, California",20.10%,9.10%,70.80%,0.00%,27.52%,72.48%
Secondary School,1981,2003,3C,"San Francisco, California",42.46%,34.45%,23.09%,0.00%,91.88%,8.13%
Small Hotel,1981,2003,3C,"San Francisco, California",49.16%,18.72%,32.13%,0.00%,75.51%,24.49%
Small Office,1981,2003,3C,"San Francisco, California",51.55%,17.49%,30.95%,0.00%,100.00%,0.00%
Standalone Retail,1981,2003,3C,"San Francisco, California",69.44%,18.32%,12.24%,0.00%,100.00%,0.00%
Strip Mall,1981,2003,3C,"San Francisco, California",76.75%,14.20%,9.06%,0.00%,100.00%,0.00%
Supermarket,1981,2003,3C,"San Francisco, California",26.69%,9.65%,63.66%,0.00%,92.34%,7.66%
Warehouse,1981,2003,3C,"San Francisco, California",73.40%,10.99%,15.61%,0.00%,100.00%,0.00%
Full Service Restaurant,1981,2003,4A,"Baltimore, Maryland",29.92%,16.68%,53.40%,0.00%,54.11%,45.89%
Hospital,1981,2003,4A,"Baltimore, Maryland",19.02%,60.82%,20.16%,0.00%,90.66%,9.34%
Large Hotel,1981,2003,4A,"Baltimore, Maryland",15.39%,67.66%,16.95%,0.00%,88.30%,11.70%
Large Office Building,1981,2003,4A,"Baltimore, Maryland",33.42%,30.13%,36.46%,0.00%,100.00%,0.00%
Medium Office Building,1981,2003,4A,"Baltimore, Maryland",36.34%,32.19%,31.47%,0.00%,100.00%,0.00%
Midrise Apartment,1981,2003,4A,"Baltimore, Maryland",33.50%,21.04%,45.47%,0.00%,100.00%,0.00%
Outpatient,1981,2003,4A,"Baltimore, Maryland",18.13%,51.14%,30.73%,0.00%,94.93%,5.07%
Primary School,1981,2003,4A,"Baltimore, Maryland",51.97%,14.53%,33.50%,0.00%,87.39%,12.62%
Quick Service Restaurant,1981,2003,4A,"Baltimore, Maryland",19.18%,13.16%,67.66%,0.00%,41.71%,58.29%
Secondary School,1981,2003,4A,"Baltimore, Maryland",33.45%,48.34%,18.21%,0.00%,95.41%,4.59%
Small Hotel,1981,2003,4A,"Baltimore, Maryland",44.74%,26.02%,29.24%,0.00%,79.94%,20.06%
Small Office,1981,2003,4A,"Baltimore, Maryland",46.98%,24.81%,28.21%,0.00%,100.00%,0.00%
Standalone Retail,1981,2003,4A,"Baltimore, Maryland",61.36%,27.83%,10.81%,0.00%,100.00%,0.00%
Strip Mall,1981,2003,4A,"Baltimore, Maryland",69.53%,22.26%,8.21%,0.00%,100.00%,0.00%
Supermarket,1981,2003,4A,"Baltimore, Maryland",24.35%,17.00%,58.66%,0.00%,93.96%,6.04%
Warehouse,1981,2003,4A,"Baltimore, Maryland",59.39%,27.99%,12.63%,0.00%,100.00%,0.00%
Full Service Restaurant,1981,2003,4B,"Albuquerque, New Mexico",27.78%,22.64%,49.57%,0.00%,45.43%,54.57%
Hospital,1981,2003,4B,"Albuquerque, New Mexico",21.49%,55.73%,22.78%,0.00%,87.96%,12.04%
Large Hotel,1981,2003,4B,"Albuquerque, New Mexico",19.97%,58.04%,21.99%,0.00%,87.00%,13.00%
Large Office Building,1981,2003,4B,"Albuquerque, New Mexico",38.01%,20.53%,41.46%,0.00%,100.00%,0.00%
Medium Office Building,1981,2003,4B,"Albuquerque, New Mexico",38.82%,27.56%,33.62%,0.00%,100.00%,0.00%
Midrise Apartment,1981,2003,4B,"Albuquerque, New Mexico",33.91%,20.07%,46.02%,0.00%,100.00%,0.00%
Outpatient,1981,2003,4B,"Albuquerque, New Mexico",17.55%,52.71%,29.74%,0.00%,94.42%,5.58%
Primary School,1981,2003,4B,"Albuquerque, New Mexico",52.19%,14.17%,33.64%,0.00%,83.72%,16.28%
Quick Service Restaurant,1981,2003,4B,"Albuquerque, New Mexico",19.15%,13.38%,67.48%,0.00%,34.02%,65.98%
Secondary School,1981,2003,4B,"Albuquerque, New Mexico",38.97%,39.82%,21.21%,0.00%,93.40%,6.60%
Small Hotel,1981,2003,4B,"Albuquerque, New Mexico",45.43%,24.88%,29.69%,0.00%,76.82%,23.18%
Small Office,1981,2003,4B,"Albuquerque, New Mexico",46.53%,25.53%,27.94%,0.00%,100.00%,0.00%
Standalone Retail,1981,2003,4B,"Albuquerque, New Mexico",61.86%,27.24%,10.90%,0.00%,100.00%,0.00%
Strip Mall,1981,2003,4B,"Albuquerque, New Mexico",70.57%,21.11%,8.33%,0.00%,100.00%,0.00%
Supermarket,1981,2003,4B,"Albuquerque, New Mexico",25.23%,18.20%,56.57%,0.00%,92.43%,7.57%
Warehouse,1981,2003,4B,"Albuquerque, New Mexico",59.58%,27.75%,12.67%,0.00%,100.00%,0.00%
Full Service Restaurant,1981,2003,4C,"Seattle, Washington",32.08%,10.78%,57.14%,0.00%,53.61%,46.39%
Hospital,1981,2003,4C,"Seattle, Washington",21.29%,56.15%,22.56%,0.00%,90.92%,9.08%
Large Hotel,1981,2003,4C,"Seattle, Washington",20.94%,56.01%,23.05%,0.00%,88.38%,11.62%
Large Office Building,1981,2003,4C,"Seattle, Washington",40.32%,15.68%,44.00%,0.00%,100.00%,0.00%
Medium Office Building,1981,2003,4C,"Seattle, Washington",39.07%,27.07%,33.86%,0.00%,100.00%,0.00%
Midrise Apartment,1981,2003,4C,"Seattle, Washington",38.59%,9.02%,52.40%,0.00%,100.00%,0.00%
Outpatient,1981,2003,4C,"Seattle, Washington",20.50%,44.76%,34.74%,0.00%,95.20%,4.80%
Primary School,1981,2003,4C,"Seattle, Washington",56.90%,6.49%,36.62%,0.00%,86.57%,13.43%
Quick Service Restaurant,1981,2003,4C,"Seattle, Washington",20.08%,9.34%,70.58%,0.00%,38.61%,61.39%
Secondary School,1981,2003,4C,"Seattle, Washington",46.96%,27.52%,25.52%,0.00%,95.29%,4.71%
Small Hotel,1981,2003,4C,"Seattle, Washington",49.48%,18.18%,32.34%,0.00%,79.57%,20.43%
Small Office,1981,2003,4C,"Seattle, Washington",50.82%,18.64%,30.53%,0.00%,100.00%,0.00%
Standalone Retail,1981,2003,4C,"Seattle, Washington",68.60%,19.31%,12.09%,0.00%,100.00%,0.00%
Strip Mall,1981,2003,4C,"Seattle, Washington",76.20%,14.81%,9.00%,0.00%,100.00%,0.00%
Supermarket,1981,2003,4C,"Seattle, Washington",26.30%,13.55%,60.15%,0.00%,94.09%,5.91%
Warehouse,1981,2003,4C,"Seattle, Washington",64.89%,21.30%,13.81%,0.00%,100.00%,0.00%
Full Service Restaurant,1981,2003,5A,"Chicago, Illinois",30.68%,14.65%,54.67%,0.00%,60.16%,39.84%
Hospital,1981,2003,5A,"Chicago, Illinois",20.39%,57.99%,21.62%,0.00%,91.24%,8.76%
Large Hotel,1981,2003,5A,"Chicago, Illinois",16.84%,64.63%,18.53%,0.00%,89.97%,10.04%
Large Office Building,1981,2003,5A,"Chicago, Illinois",37.47%,21.65%,40.88%,0.00%,100.00%,0.00%
Medium Office Building,1981,2003,5A,"Chicago, Illinois",35.54%,33.67%,30.79%,0.00%,100.00%,0.00%
Midrise Apartment,1981,2003,5A,"Chicago, Illinois",34.49%,18.69%,46.82%,0.00%,100.00%,0.00%
Outpatient,1981,2003,5A,"Chicago, Illinois",18.61%,49.86%,31.53%,0.00%,95.21%,4.79%
Primary School,1981,2003,5A,"Chicago, Illinois",53.55%,11.97%,34.48%,0.00%,90.73%,9.27%
Quick Service Restaurant,1981,2003,5A,"Chicago, Illinois",19.51%,11.86%,68.64%,0.00%,49.56%,50.44%
Secondary School,1981,2003,5A,"Chicago, Illinois",37.05%,42.81%,20.14%,0.00%,96.55%,3.45%
Small Hotel,1981,2003,5A,"Chicago, Illinois",45.22%,25.23%,29.56%,0.00%,83.05%,16.95%
Small Office,1981,2003,5A,"Chicago, Illinois",47.10%,24.62%,28.28%,0.00%,100.00%,0.00%
Standalone Retail,1981,2003,5A,"Chicago, Illinois",61.09%,28.14%,10.77%,0.00%,100.00%,0.00%
Strip Mall,1981,2003,5A,"Chicago, Illinois",69.36%,22.45%,8.19%,0.00%,100.00%,0.00%
Supermarket,1981,2003,5A,"Chicago, Illinois",24.26%,19.32%,56.41%,0.00%,95.14%,4.86%
Warehouse,1981,2003,5A,"Chicago, Illinois",55.59%,32.59%,11.82%,0.00%,100.00%,0.00%
Full Service Restaurant,1981,2003,5B,"Boulder, Colorado",30.64%,14.79%,54.57%,0.00%,54.25%,45.75%
Hospital,1981,2003,5B,"Boulder, Colorado",22.03%,54.63%,23.34%,0.00%,88.76%,11.24%
Large Hotel,1981,2003,5B,"Boulder, Colorado",20.73%,56.46%,22.81%,0.00%,88.93%,11.07%
Large Office Building,1981,2003,5B,"Boulder, Colorado",39.74%,16.89%,43.36%,0.00%,100.00%,0.00%
Medium Office Building,1981,2003,5B,"Boulder, Colorado",39.00%,27.21%,33.78%,0.00%,100.00%,0.00%
Midrise Apartment,1981,2003,5B,"Boulder, Colorado",35.87%,15.44%,48.69%,0.00%,100.00%,0.00%
Outpatient,1981,2003,5B,"Boulder, Colorado",18.21%,50.94%,30.85%,0.00%,94.61%,5.39%
Primary School,1981,2003,5B,"Boulder, Colorado",54.99%,9.61%,35.39%,0.00%,87.28%,12.72%
Quick Service Restaurant,1981,2003,5B,"Boulder, Colorado",19.57%,11.67%,68.76%,0.00%,42.17%,57.83%
Secondary School,1981,2003,5B,"Boulder, Colorado",43.42%,32.97%,23.60%,0.00%,95.23%,4.77%
Small Hotel,1981,2003,5B,"Boulder, Colorado",46.65%,22.86%,30.49%,0.00%,80.53%,19.47%
Small Office,1981,2003,5B,"Boulder, Colorado",47.75%,23.58%,28.68%,0.00%,100.00%,0.00%
Standalone Retail,1981,2003,5B,"Boulder, Colorado",62.21%,26.82%,10.97%,0.00%,100.00%,0.00%
Strip Mall,1981,2003,5B,"Boulder, Colorado",71.05%,20.56%,8.39%,0.00%,100.00%,0.00%
Supermarket,1981,2003,5B,"Boulder, Colorado",25.13%,20.34%,54.53%,0.00%,94.01%,5.99%
Warehouse,1981,2003,5B,"Boulder, Colorado",56.07%,32.00%,11.93%,0.00%,100.00%,0.00%
Full Service Restaurant,1981,2003,6A,"Minneapolis, Minnesota",30.98%,13.86%,55.16%,0.00%,64.78%,35.22%
Hospital,1981,2003,6A,"Minneapolis, Minnesota",21.32%,56.10%,22.59%,0.00%,91.70%,8.30%
Large Hotel,1981,2003,6A,"Minneapolis, Minnesota",17.34%,63.59%,19.08%,0.00%,91.14%,8.86%
Large Office Building,1981,2003,6A,"Minneapolis, Minnesota",38.10%,20.34%,41.56%,0.00%,100.00%,0.00%
Medium Office Building,1981,2003,6A,"Minneapolis, Minnesota",34.49%,35.63%,29.88%,0.00%,100.00%,0.00%
Midrise Apartment,1981,2003,6A,"Minneapolis, Minnesota",34.25%,19.24%,46.51%,0.00%,100.00%,0.00%
Outpatient,1981,2003,6A,"Minneapolis, Minnesota",18.63%,49.81%,31.57%,0.00%,95.42%,4.58%
Primary School,1981,2003,6A,"Minneapolis, Minnesota",54.81%,9.93%,35.27%,0.00%,92.58%,7.43%
Quick Service Restaurant,1981,2003,6A,"Minneapolis, Minnesota",19.64%,11.36%,69.00%,0.00%,55.87%,44.13%
Secondary School,1981,2003,6A,"Minneapolis, Minnesota",39.33%,39.30%,21.37%,0.00%,97.37%,2.63%
Small Hotel,1981,2003,6A,"Minneapolis, Minnesota",44.38%,26.61%,29.00%,0.00%,85.34%,14.66%
Small Office,1981,2003,6A,"Minneapolis, Minnesota",47.22%,24.41%,28.36%,0.00%,100.00%,0.00%
Standalone Retail,1981,2003,6A,"Minneapolis, Minnesota",58.12%,31.64%,10.24%,0.00%,100.00%,0.00%
Strip Mall,1981,2003,6A,"Minneapolis, Minnesota",68.69%,23.20%,8.11%,0.00%,100.00%,0.00%
Supermarket,1981,2003,6A,"Minneapolis, Minnesota",24.16%,20.67%,55.17%,0.00%,95.99%,4.01%
Warehouse,1981,2003,6A,"Minneapolis, Minnesota",54.83%,33.51%,11.66%,0.00%,100.00%,0.00%
Full Service Restaurant,1981,2003,6B,"Helena, Montana",31.46%,12.61%,55.93%,0.00%,61.52%,38.48%
Hospital,1981,2003,6B,"Helena, Montana",22.82%,53.00%,24.18%,0.00%,90.14%,9.86%
Large Hotel,1981,2003,6B,"Helena, Montana",21.64%,54.55%,23.81%,0.00%,90.61%,9.39%
Large Office Building,1981,2003,6B,"Helena, Montana",41.15%,13.96%,44.89%,0.00%,100.00%,0.00%
Medium Office Building,1981,2003,6B,"Helena, Montana",37.21%,30.56%,32.23%,0.00%,100.00%,0.00%
Midrise Apartment,1981,2003,6B,"Helena, Montana",36.27%,14.48%,49.25%,0.00%,100.00%,0.00%
Outpatient,1981,2003,6B,"Helena, Montana",18.86%,49.17%,31.97%,0.00%,95.04%,4.96%
Primary School,1981,2003,6B,"Helena, Montana",56.37%,7.39%,36.24%,0.00%,91.07%,8.93%
Quick Service Restaurant,1981,2003,6B,"Helena, Montana",19.90%,10.37%,69.73%,0.00%,51.12%,48.88%
Secondary School,1981,2003,6B,"Helena, Montana",46.94%,27.58%,25.48%,0.00%,96.75%,3.25%
Small Hotel,1981,2003,6B,"Helena, Montana",47.09%,22.12%,30.78%,0.00%,83.87%,16.13%
Small Office,1981,2003,6B,"Helena, Montana",48.11%,23.00%,28.90%,0.00%,100.00%,0.00%
Standalone Retail,1981,2003,6B,"Helena, Montana",58.60%,31.07%,10.33%,0.00%,100.00%,0.00%
Strip Mall,1981,2003,6B,"Helena, Montana",69.82%,21.93%,8.24%,0.00%,100.00%,0.00%
Supermarket,1981,2003,6B,"Helena, Montana",24.96%,22.29%,52.75%,0.00%,95.44%,4.56%
Warehouse,1981,2003,6B,"Helena, Montana",54.14%,34.34%,11.52%,0.00%,100.00%,0.00%
Full Service Restaurant,1981,2003,7,"Duluth, Minnesota",32.14%,10.77%,57.09%,0.00%,69.18%,30.82%
Hospital,1981,2003,7,"Duluth, Minnesota",22.49%,53.68%,23.82%,0.00%,92.24%,7.76%
Large Hotel,1981,2003,7,"Duluth, Minnesota",20.00%,58.00%,22.00%,0.00%,92.26%,7.74%
Large Office Building,1981,2003,7,"Duluth, Minnesota",40.95%,14.36%,44.68%,0.00%,100.00%,0.00%
Medium Office Building,1981,2003,7,"Duluth, Minnesota",33.68%,37.14%,29.18%,0.00%,100.00%,0.00%
Midrise Apartment,1981,2003,7,"Duluth, Minnesota",35.76%,15.68%,48.56%,0.00%,100.00%,0.00%
Outpatient,1981,2003,7,"Duluth, Minnesota",19.25%,48.12%,32.63%,0.00%,95.54%,4.46%
Primary School,1981,2003,7,"Duluth, Minnesota",57.14%,6.16%,36.70%,0.00%,93.77%,6.23%
Quick Service Restaurant,1981,2003,7,"Duluth, Minnesota",20.13%,9.44%,70.43%,0.00%,61.01%,38.99%
Secondary School,1981,2003,7,"Duluth, Minnesota",46.82%,27.78%,25.40%,0.00%,97.80%,2.20%
Small Hotel,1981,2003,7,"Duluth, Minnesota",45.71%,24.41%,29.88%,0.00%,87.39%,12.61%
Small Office,1981,2003,7,"Duluth, Minnesota",48.47%,22.42%,29.12%,0.00%,100.00%,0.00%
Standalone Retail,1981,2003,7,"Duluth, Minnesota",58.89%,30.72%,10.38%,0.00%,100.00%,0.00%
Strip Mall,1981,2003,7,"Duluth, Minnesota",70.19%,21.53%,8.29%,0.00%,100.00%,0.00%
Supermarket,1981,2003,7,"Duluth, Minnesota",24.81%,21.85%,53.34%,0.00%,96.73%,3.27%
Warehouse,1981,2003,7,"Duluth, Minnesota",53.27%,35.39%,11.34%,0.00%,100.00%,0.00%
Full Service Restaurant,1981,2003,8,"Fairbanks, Alaska",32.56%,9.65%,57.79%,0.00%,77.04%,22.96%
Hospital,1981,2003,8,"Fairbanks, Alaska",24.94%,48.66%,26.41%,0.00%,94.46%,5.54%
Large Hotel,1981,2003,8,"Fairbanks, Alaska",24.31%,48.95%,26.75%,0.00%,94.08%,5.92%
Large Office Building,1981,2003,8,"Fairbanks, Alaska",41.95%,12.24%,45.80%,0.00%,100.00%,0.00%
Medium Office Building,1981,2003,8,"Fairbanks, Alaska",27.56%,48.53%,23.91%,0.00%,100.00%,0.00%
Midrise Apartment,1981,2003,8,"Fairbanks, Alaska",33.66%,20.54%,45.80%,0.00%,100.00%,0.00%
